State;Age;Cost_kr_mean;Cost_kr_SE;Cost_Mean;Cost_SE
N;2;0;0;0;0
N;3;0;0;0;0
N;4;0;0;0;0
N;5;0;0;0;0
N;6;0;0;0;0
N;7;0;0;0;0
N;8;0;0;0;0
N;9;0;0;0;0
N;10;0;0;0;0
N;11;0;0;0;0
N;12;0;0;0;0
N;13;0;0;0;0
N;14;0;0;0;0
N;15;0;0;0;0
N;16;0;0;0;0
N;17;0;0;0;0
N;18;0;0;0;0
N;19;0;0;0;0
N;20;5411,774;274,846;620,011915;31,48834279
N;21;5573,212;276,8339;638,5074182;31,71609097
N;22;5738,463;278,7462;657,4397663;31,93517787
N;23;5907,596;280,5862;676,8168643;32,14598155
N;24;6080,679;282,358;696,6465028;32,34897176
N;25;6257,783;284,067;716,9368162;32,54476714
N;26;6438,98;285,7199;737,6960532;32,7341353
N;27;6624,341;287,3246;758,9323481;32,91798133
N;28;6813,942;288,8909;780,654408;33,09742797
N;29;7007,859;290,4301;802,87094;33,27376983
N;30;7206,168;291,9554;825,5906513;33,44851922
N;31;7408,949;293,4823;848,8227072;33,62345191
N;32;7616,283;295,0284;872,5763877;33,80058429
N;33;7828,251;296,6137;896,8609727;33,98220771
N;34;8044,937;298,261;921,6860858;34,1709343
N;35;8266,428;299,9957;947,0616944;34,36967406
N;36;8492,812;301,8462;972,9978805;34,5816807
N;37;8724,177;303,8442;999,5047259;34,81058601
N;38;8960,615;306,0243;1026,592771;35,06035401
N;39;9202,22;308,4246;1054,272785;35,33534972
N;40;9449,089;311,0863;1082,55588;35,64029329
N;41;9701,317;314,0541;1111,452942;35,98030589
N;42;9959,007;317,3754;1140,975769;36,36081801
N;43;10222,26;321,101;1171,135934;36,78764965
N;44;10491,18;325,2841;1201,945351;37,2668958
N;45;10765,88;329,9804;1233,416967;37,80493785
N;46;11046,46;335,2471;1265,562239;38,40832904
N;47;11333,04;341,1433;1298,394913;39,08384029
N;48;11625,73;347,7286;1331,927594;39,83829982
N;49;11924,65;355,063;1366,174028;40,67858166
N;50;12229,92;363,2059;1401,147964;41,61149109
N;51;12541,66;372,2161;1436,863149;42,64376468
N;52;12860;382,1508;1473,334479;43,78195566
N;53;13185,07;393,0654;1510,576846;45,03241107
N;54;13516,99;405,0128;1548,603998;46,4011915
N;55;13855,92;418,0438;1587,434267;47,89411697
N;56;14201,97;432,2062;1627,080254;49,5166638
N;57;14555,3;447,5454;1667,560291;51,27403334
N;58;14916,05;464,104;1708,890416;53,17110615
N;59;15284,37;481,9223;1751,087816;55,21249928
N;60;15660,4;501,0384;1794,168528;57,40257776
N;61;16044,31;521,4884;1838,152031;59,74547746
N;62;16436,25;543,3069;1883,055508;62,2451624
N;63;16836,38;566,5273;1928,89729;64,90545913
N;64;17244,87;591,182;1975,696855;67,73007962
N;65;17661,9;617,3028;2023,474824;70,72266712
N;66;18087,63;644,9215;2072,249527;73,88686487
N;67;18522,24;674,0695;2122,041588;77,22627026
N;68;18965,92;704,7791;2172,872773;80,74458383
N;69;19418,85;737,0825;2224,763705;84,44549464
N;70;19881,22;771,0132;2277,736152;88,33284069
N;71;20353,23;806,6052;2331,813026;92,41051727
N;72;20835,07;843,8939;2387,016097;96,68258005
N;73;21326,95;882,9157;2443,369422;101,1531993
N;74;21829,08;923,7085;2500,897061;105,8267171
N;75;22341,67;966,3115;2559,623074;110,7076244
N;76;22864,94;1010,765;2619,572664;115,8005385
N;77;23399,11;1057,113;2680,771037;121,1105001
N;78;23944,42;1105,397;2743,245689;126,6422638
N;79;24501,08;1155,664;2807,020679;132,4012144
N;80;25069,35;1207,961;2872,125795;138,3927364
N;81;25069,35;1207,961;2872,125795;138,3927364
N;82;25069,35;1207,961;2872,125795;138,3927364
N;83;25069,35;1207,961;2872,125795;138,3927364
N;84;25069,35;1207,961;2872,125795;138,3927364
N;85;25069,35;1207,961;2872,125795;138,3927364
N;86;25069,35;1207,961;2872,125795;138,3927364
N;87;25069,35;1207,961;2872,125795;138,3927364
N;88;25069,35;1207,961;2872,125795;138,3927364
N;89;25069,35;1207,961;2872,125795;138,3927364
N;90;25069,35;1207,961;2872,125795;138,3927364
N;91;25069,35;1207,961;2872,125795;138,3927364
N;92;25069,35;1207,961;2872,125795;138,3927364
N;93;25069,35;1207,961;2872,125795;138,3927364
N;94;25069,35;1207,961;2872,125795;138,3927364
N;95;25069,35;1207,961;2872,125795;138,3927364
N;96;25069,35;1207,961;2872,125795;138,3927364
N;97;25069,35;1207,961;2872,125795;138,3927364
N;98;25069,35;1207,961;2872,125795;138,3927364
N;99;25069,35;1207,961;2872,125795;138,3927364
N;100;25069,35;1207,961;2872,125795;138,3927364
OW;2;0;0;0;0
OW;3;0;0;0;0
OW;4;0;0;0;0
OW;5;0;0;0;0
OW;6;0;0;0;0
OW;7;0;0;0;0
OW;8;0;0;0;0
OW;9;0;0;0;0
OW;10;0;0;0;0
OW;11;0;0;0;0
OW;12;0;0;0;0
OW;13;0;0;0;0
OW;14;0;0;0;0
OW;15;0;0;0;0
OW;16;0;0;0;0
OW;17;0;0;0;0
OW;18;0;0;0;0
OW;19;0;0;0;0
OW;20;5638,068;292,1442;645,93779;33,47014951
OW;21;5801,192;293,7041;664,6264536;33,64886292
OW;22;5968,063;295,138;683,7444005;33,81314086
OW;23;6138,749;296,4451;703,2994214;33,96289168
OW;24;6313,317;297,6254;723,2991923;34,09811537
OW;25;6491,836;298,6797;743,7516183;34,21890359
OW;26;6674,379;299,6097;764,6650627;34,32545111
OW;27;6861,017;300,4183;786,04766;34,41809016
OW;28;7051,825;301,1095;807,9080025;34,49727903
OW;29;7246,879;301,6887;830,2547975;34,56363636
OW;30;7446,254;302,1629;853,0966375;34,61796414
OW;31;7650,031;302,541;876,4428023;34,66128201
OW;32;7858,291;302,8338;900,302572;34,69482729
OW;33;8071,115;303,0541;924,6852266;34,72006645
OW;34;8288,587;303,2177;949,6003895;34,73880965
OW;35;8510,795;303,3427;975,0581429;34,75313055
OW;36;8737,826;303,4504;1001,068454;34,76546944
OW;37;8969,771;303,5657;1027,641748;34,77867904
OW;38;9206,721;303,7168;1054,788452;34,79599015
OW;39;9448,771;303,936;1082,519448;34,82110328
OW;40;9696,017;304,26;1110,845735;34,85822306
OW;41;9948,559;304,7297;1139,778771;34,91203529
OW;42;10206,5;305,3911;1169,330355;34,98781005
OW;43;10469,93;306,2948;1199,510798;35,09134445
OW;44;10738,98;307,4964;1230,335109;35,22900842
OW;45;11013,73;309,0561;1261,812453;35,40769892
OW;46;11294,31;311,039;1293,957725;35,63487426
OW;47;11580,83;313,5144;1326,783525;35,91847396
OW;48;11873,4;316,5549;1360,302457;36,2668156
