State;Age;Cost_kr_Mean;Cost_kr_SE;Cost_Mean;Cost_SE;;;;;
N;2;0;0;0;0;;;;;
N;3;0;0;0;0;;;;;
N;4;0;0;0;0;;;;;
N;5;0;0;0;0;;;;;
N;6;0;0;0;0;;;;;
N;7;0;0;0;0;;;;;
N;8;0;0;0;0;;;;;
N;9;0;0;0;0;;;;;
N;10;0;0;0;0;;;;;
N;11;0;0;0;0;;;;;
N;12;0;0;0;0;;;;;
N;13;0;0;0;0;;;;;
N;14;0;0;0;0;;;;;
N;15;0;0;0;0;;;;;
N;16;0;0;0;0;;;;;
N;17;0;0;0;0;;;;;
N;18;0;0;0;0;;;;;
N;19;0;0;0;0;;;;;
N;20;7709,564;475,1594;883,2633328;54,43769262;;;;;
N;21;7846,996;472,733;899,0085353;54,15970671;;;;;
N;22;7986,522;470,1941;914,9936415;53,86883199;;;;;
N;23;8128,171;467,552;931,221974;53,56613393;;;;;
N;24;8271,973;464,8174;947,6969697;53,2528384;;;;;
N;25;8417,957;462,0027;964,4219511;52,93036604;;;;;
N;26;8566,154;459,1222;981,4004697;52,60035516;;;;;
N;27;8716,597;456,1919;998,6363064;52,26463883;;;;;
N;28;8869,316;453,2301;1016,132898;51,92531363;;;;;
N;29;9024,343;450,2575;1033,893911;51,5847511;;;;;
N;30;9181,712;447,2973;1051,92324;51,24560921;;;;;
N;31;9341,456;444,3755;1070,224666;50,9108667;;;;;
N;32;9503,607;441,5209;1088,801856;50,58382311;;;;;
N;33;9668,201;438,7657;1107,658933;50,2681675;;;;;
N;34;9835,272;436,1454;1126,799794;49,967967;;;;;
N;35;10004,86;433,6987;1146,22902;49,68765538;;;;;
N;36;10176,99;431,4684;1165,949476;49,43213611;;;;;
N;37;10351,71;429,5007;1185,966661;49,20670218;;;;;
N;38;10529,04;427,8457;1206,282866;49,01709343;;;;;
N;39;10709,04;426,5569;1226,904966;48,86943919;;;;;
N;40;10891,74;425,6915;1247,836398;48,77029272;;;;;
N;41;11077,17;425,31;1269,080598;48,72658532;;;;;
N;42;11265,38;425,4754;1290,643295;48,74553474;;;;;
N;43;11456,4;426,2533;1312,527926;48,83465658;;;;;
N;44;11650,28;427,7106;1334,740219;49,0016154;;;;;
N;45;11847,06;429,9155;1357,284757;49,25422467;;;;;
N;46;12046,77;432,9356;1380,164977;49,60022913;;;;;
N;47;12249,47;436,838;1403,387753;50,04731626;;;;;
N;48;12455,19;441,6876;1426,956522;50,60292146;;;;;
N;49;12663,98;447,5462;1450,877012;51,27412499;;;;;
N;50;12875,88;454,4722;1475,153806;52,06761757;;;;;
N;51;13090,94;462,519;1499,792633;52,9895171;;;;;
N;52;13309,21;471,7351;1524,799221;54,04538008;;;;;
N;53;13530,73;482,1632;1550,178152;55,24009853;;;;;
N;54;13755,54;493,8404;1575,934009;56,5779229;;;;;
N;55;13983,7;506,7979;1602,073667;58,06242768;;;;;
N;56;14215,25;521,0613;1628,601707;59,6965458;;;;;
N;57;14450,25;536,6513;1655,525004;61,48264879;;;;;
N;58;14688,74;553,5838;1682,848141;63,42255829;;;;;
N;59;14930,78;571,8705;1710,577992;65,51761471;;;;;
N;60;15176,42;591,5199;1738,720284;67,76879189;;;;;
N;61;15425,7;612,5377;1767,279601;70,17674285;;;;;
N;62;15678,69;634,9276;1796,263963;72,7418915;;;;;
N;63;15935,44;658,6918;1825,679097;75,46448989;;;;;
N;64;16195,99;683,8314;1855,529587;78,34466403;;;;;
N;65;16460,42;710,3472;1885,824598;81,38250559;;;;;
N;66;16728,77;738,2402;1916,568712;84,57812912;;;;;
N;67;17001,11;767,5113;1947,769949;87,93163774;;;;;
N;68;17277,49;798,1623;1979,434038;91,44323767;;;;;
N;69;17557,97;830,1957;2011,567852;95,11321533;;;;;
N;70;17842,61;863,6151;2044,178267;98,94198316;;;;;
N;71;18131,47;898,4252;2077,272154;102,9300796;;;;;
N;72;18424,62;934,6319;2110,857536;107,0781807;;;;;
N;73;18722,11;972,2423;2144,940139;111,3870997;;;;;
N;74;19024,02;1011,265;2179,529129;115,8578221;;;;;
N;75;19330,41;1051,71;2214,63138;120,4914934;;;;;
N;76;19641,34;1093,588;2250,253766;125,2893395;;;;;
N;77;19956,88;1136,912;2286,404308;130,2528499;;;;;
N;78;20277,09;1181,696;2323,089878;135,3836283;;;;;
N;79;20602,06;1227,955;2360,320788;140,6833935;;;;;
N;80;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;81;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;82;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;83;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;84;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;85;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;86;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;87;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;88;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;89;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;90;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;91;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;92;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;93;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;94;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;95;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;96;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;97;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;98;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;99;20931,85;1275,705;2398,103912;146,1539783;;;;;
N;100;20931,85;1275,705;2398,103912;146,1539783;;;;;
OW;2;0;0;0;0;;;;;
OW;3;0;0;0;0;;;;;
OW;4;0;0;0;0;;;;;
OW;5;0;0;0;0;;;;;
OW;6;0;0;0;0;;;;;
OW;7;0;0;0;0;;;;;
OW;8;0;0;0;0;;;;;
OW;9;0;0;0;0;;;;;
OW;10;0;0;0;0;;;;;
OW;11;0;0;0;0;;;;;
OW;12;0;0;0;0;;;;;
OW;13;0;0;0;0;;;;;
OW;14;0;0;0;0;;;;;
OW;15;0;0;0;0;;;;;
OW;16;0;0;0;0;;;;;
OW;17;0;0;0;0;;;;;
OW;18;0;0;0;0;;;;;
OW;19;0;0;0;0;;;;;
OW;20;8635,614;578,3268;989,358309;66,25729507;;;;;
OW;21;8784,08;575,7183;1006,367646;65,95844647;;;;;
OW;22;8934,774;572,9517;1023,632239;65,64148479;;;;;
OW;23;9087,729;570,033;1041,155869;65,30709744;;;;;
OW;24;9242,978;566,9689;1058,942315;64,95605201;;;;;
OW;25;9400,552;563,7677;1076,995131;64,58929942;;;;;
