State;Age;Cost_kr_mean;Cost_kr_SE;Cost_Mean;Cost_SE
N;2;0;0;0;0
N;3;0;0;0;0
N;4;0;0;0;0
N;5;0;0;0;0
N;6;0;0;0;0
N;7;0;0;0;0
N;8;0;0;0;0
N;9;0;0;0;0
N;10;0;0;0;0
N;11;0;0;0;0
N;12;0;0;0;0
N;13;0;0;0;0
N;14;0;0;0;0
N;15;0;0;0;0
N;16;0;0;0;0
N;17;0;0;0;0
N;18;0;0;0;0
N;19;0;0;0;0
N;20;3101,934;265,917;355,3799622;30,46537206
N;21;3251,57;272,8782;372,5233431;31,26289741
N;22;3407,114;279,8946;390,3435871;32,06674686
N;23;3568,735;286,9663;408,8600561;32,87693189
N;24;3736,605;294,0943;428,0924557;33,69356705
N;25;3910,9;301,281;448,0609498;34,51692731
N;26;4091,799;308,5298;468,7860457;35,34740219
N;27;4279,484;315,8458;490,2885948;36,18557599
N;28;4474,141;323,236;512,5899066;37,03225067
N;29;4675,961;330,709;535,7118634;37,88841153
N;30;4885,138;338,2759;559,6766913;38,75533024
N;31;5101,87;345,9503;584,5070745;39,63456493
N;32;5326,361;353,7485;610,2263848;40,52798304
N;33;5558,818;361,69;636,8583376;41,43781864
N;34;5799,454;369,7975;664,4273357;42,3666724
N;35;6048,487;378,0977;692,9583548;43,31760325
N;36;6306,14;386,6212;722,4769433;44,29411697
N;37;6572,644;395,403;753,0095664;45,30022341
N;38;6848,233;404,4831;784,5830326;46,34050524
N;39;7133,148;413,9062;817,2249527;47,42008363
N;40;7427,639;423,7225;850,9639686;48,54470986
N;41;7731,96;433,9878;885,8291803;49,72077677
N;42;8046,374;444,7638;921,8507189;50,95535315
N;43;8371,151;456,1179;959,0595177;52,25616085
N;44;8706,568;468,1238;997,4873117;53,63164347
N;45;9052,912;480,8612;1037,166982;55,090932
N;46;9410,478;494,4159;1078,132325;56,64385633
N;47;9779,568;508,8793;1120,417941;58,3008879
N;48;10160,5;524,3488;1164,060262;60,07318554
N;49;10553,59;540,9268;1209,095492;61,97248095
N;50;10959,17;558,7208;1255,561666;64,01109011
N;51;11377,59;577,8426;1303,498883;66,20182162
N;52;11809,2;598,4082;1352,947242;68,55796529
N;53;12254,36;620,537;1403,947986;71,09320044
N;54;12713,46;644,3513;1456,545798;73,82153864
N;55;13186,87;669,9759;1510,783067;76,75727788
N;56;13675,01;697,5377;1566,707911;79,91495675
N;57;14178,29;727,1653;1624,367303;83,30930859
N;58;14697,13;758,9886;1683,80936;86,95521567
N;59;15231,97;793,1388;1745,084493;90,86770923
N;60;15783,28;829,7482;1808,246549;95,0619465
N;61;16351,52;868,95;1873,348227;99,55318783
N;62;16937,17;910,879;1940,444521;104,3568769
N;63;17540,74;955,6709;2009,593859;109,4885605
N;64;18162,74;1003,463;2080,854671;114,9639686
N;65;18803,71;1054,395;2154,288824;120,7991064
N;66;19464,2;1108,608;2229,959329;127,0101392
N;67;20144,78;1166,247;2307,931489;133,6136793
N;68;20846,04;1227,458;2388,272899;140,6264536
N;69;21568,57;1292,392;2471,051154;148,0657616
N;70;22313,02;1361,203;2556,340723;155,9492467
N;71;23080,01;1434,051;2644,212637;164,2952397
N;72;23870,23;1511,097;2734,745947;173,1221859
N;73;24684,35;1592,511;2828,017414;182,4495618
N;74;25523,09;1678,466;2924,109526;192,2971874
N;75;26387,17;1769,143;3023,104772;202,6857994
N;76;27277,36;1864,727;3125,091367;213,6365928
N;77;28194,42;1965,411;3230,156384;225,171679
N;78;29139,18;2071,394;3338,394913;237,3138569
N;79;30112,45;2182,885;3449,899754;250,0870711
N;80;31115,08;2300,099;3564,768288;263,5159535
N;81;31115,08;2300,099;3564,768288;263,5159535
N;82;31115,08;2300,099;3564,768288;263,5159535
N;83;31115,08;2300,099;3564,768288;263,5159535
N;84;31115,08;2300,099;3564,768288;263,5159535
N;85;31115,08;2300,099;3564,768288;263,5159535
N;86;31115,08;2300,099;3564,768288;263,5159535
N;87;31115,08;2300,099;3564,768288;263,5159535
N;88;31115,08;2300,099;3564,768288;263,5159535
N;89;31115,08;2300,099;3564,768288;263,5159535
N;90;31115,08;2300,099;3564,768288;263,5159535
N;91;31115,08;2300,099;3564,768288;263,5159535
N;92;31115,08;2300,099;3564,768288;263,5159535
N;93;31115,08;2300,099;3564,768288;263,5159535
N;94;31115,08;2300,099;3564,768288;263,5159535
N;95;31115,08;2300,099;3564,768288;263,5159535
N;96;31115,08;2300,099;3564,768288;263,5159535
N;97;31115,08;2300,099;3564,768288;263,5159535
N;98;31115,08;2300,099;3564,768288;263,5159535
N;99;31115,08;2300,099;3564,768288;263,5159535
N;100;31115,08;2300,099;3564,768288;263,5159535
OW;2;0;0;0;0
OW;3;0;0;0;0
OW;4;0;0;0;0
OW;5;0;0;0;0
OW;6;0;0;0;0
OW;7;0;0;0;0
OW;8;0;0;0;0
OW;9;0;0;0;0
OW;10;0;0;0;0
OW;11;0;0;0;0
OW;12;0;0;0;0
OW;13;0;0;0;0
OW;14;0;0;0;0
OW;15;0;0;0;0
OW;16;0;0;0;0
OW;17;0;0;0;0
OW;18;0;0;0;0
OW;19;0;0;0;0
OW;20;3002,869;238,7969;344,0303603;27,35829753
OW;21;3144,602;243,7885;360,2683164;27,93017128
OW;22;3291,782;248,7059;377,1303202;28,49354414
OW;23;3444,562;253,5405;394,6339004;29,04743083
OW;24;3603,095;258,284;412,7965859;29,59088045
OW;25;3767,541;262,9287;431,6367073;30,12301083
OW;26;3938,061;267,4674;451,1727101;30,64299708
OW;27;4114,821;271,894;471,4236123;31,15014034
OW;28;4297,989;276,2033;492,4086613;31,64384488
OW;29;4487,737;280,3914;514,1475626;32,12366386
OW;30;4684,242;284,456;536,6605946;32,58933379
OW;31;4887,685;288,397;559,968494;33,04084321
OW;32;5098,251;292,2162;584,0924557;33,47839835
OW;33;5316,129;295,9184;609,054133;33,90254912
OW;34;5541,514;299,5113;634,8758664;34,31417769
OW;35;5774,606;303,0066;661,5805694;34,71462451
OW;36;6015,61;306,4202;689,1917282;35,10571118
OW;37;6264,735;309,773;717,7332875;35,48983216
OW;38;6522,2;313,0916;747,2303374;35,87003494
OW;39;6788,225;316,409;777,7080827;36,25010025
OW;40;7063,039;319,7656;809,1927594;36,63465658
OW;41;7346,879;323,21;841,7115197;37,02927193
OW;42;7639,987;326,7997;875,2920891;37,44053388
OW;43;7942,612;330,6022;909,9629948;37,87617575
OW;44;8255,011;334,6955;945,7536805;38,34513376
OW;45;8577,449;339,1689;982,6945065;38,85763877
OW;46;8910,2;344,1232;1020,816864;39,42523916
OW;47;9253,546;349,6711;1060,153062;40,06084665
OW;48;9607,776;355,9368;1100,736209;40,7786905
