Gender;Transtition;dist;mean1;mean2;cov_r1c1;cov_r1c2;cov_r2c1;cov_r2c2;age_start;age_end;survival_function_starting_age
Female;N_OW;lnorm;3,162379;0,201437674;0,00054343;0,00023309;0,00023309;0,00016374;2;12;2
Female;OW_OB1;lnorm;3,316242;0,414305252;0,00396507;0,00142953;0,00142953;0,00095564;2;12;2
Female;OB1_OB2;lnorm;3,350728;0,483582271;0,02506405;0,00885723;0,00885723;0,00722765;2;12;2
Female;OW_N;lnorm;1,638529;-0,052267031;0,00034841;0,00006883;0,00006883;0,0001575;2;12;2
Female;OB1_OW;lnorm;1,283513;-0,082119145;0,00183141;-0,0002219;-0,0002219;0,00082973;2;12;2
Female;OB2_OB1;lnorm;1,276136;-0,25185133;0,00585139;-0,00156858;-0,00156858;0,00256876;2;12;2
Female;N_OW;weibull;-5,756025;1,854628;0,0858098;-0,01647076;-0,01647076;0,00326129;12;20;12
Female;OW_OB1;weibull;-5,216974;1,775127;0,23468567;-0,04505536;-0,04505536;0,00885094;12;20;12
Female;OB1_OB2;gompertz;-3,8724;0,1180395;0,34930899;-0,02581819;-0,02581819;0,00197519;12;20;12
Female;OW_N;gompertz;-1,529699;-0,2958821;0,0612074;-0,00819946;-0,00819946;0,00142119;12;20;12
Female;OB1_OW;gompertz;-1,157315;-0,4350562;0,78422836;-0,11922359;-0,11922359;0,02241554;12;20;12
Female;OB2_OB1;gompertz;-0,7229819;-0,3493822;0,20491176;-0,0227224;-0,0227224;0,00766319;12;20;12
Female;N_OW;loglogistic;3,23109;0,4516638;0,00011167;-0,00007173;-0,00007173;0,00014617;20;100;19
Female;OW_OB1;loglogistic;3,300936;0,6145996;0,00057035;-0,00031713;-0,00031713;0,00031815;20;100;19
Female;OB1_OB2;gompertz;-3,023142;-0,0198764;0,00309865;-0,00007816;-0,00007816;0,000002344;20;100;19
Female;OW_N;gompertz;-6,560138;0,0388585;0,00352892;-0,00007744;-0,00007744;0,000001872;20;100;19
Female;OB1_OW;gompertz;-6,084956;0,0296939;0,00886366;-0,00020054;-0,00020054;0,000004869;20;100;19
Female;OB2_OB1;gompertz;-4,850827;0,0221383;0,03614236;-0,00082888;-0,00082888;0,00002055;20;100;19
