Gender;Transtition;dist;mean1;mean2;cov_r1c1;cov_r1c2;cov_r2c1;cov_r2c2;age_start;age_end;survival_function_starting_age
Male;N_OW;lnorm;3,268912;0,178562835;0,00059227;0,00028058;0,00028058;0,00020621;2;12;2
Male;OW_OB1;lnorm;3,28028;0,273454844;0,00362689;0,00153614;0,00153614;0,00114626;2;12;2
Male;OB1_OB2;lnorm;3,438018;0,482657604;0,03132161;0,0105304;0,0105304;0,0067937;2;12;2
Male;OW_N;lnorm;1,442465;-0,086774969;0,00027895;0,00010037;0,00010037;0,00019022;2;12;2
Male;OB1_OW;lnorm;1,263174;-0,114436242;0,00154449;0,00010267;0,00010267;0,00083388;2;12;2
Male;OB2_OB1;lnorm;1,366445;-0,177232409;0,00713912;-0,00103456;-0,00103456;0,00302931;2;12;2
Male;N_OW;weibull;-6,948323;2,415391;0,12721918;-0,01928137;-0,01928137;0,00298159;12;20;12
Male;OW_OB1;weibull;-4,528445;1,543063;0,41642339;-0,08914327;-0,08914327;0,01934294;12;20;12
Male;OB1_OB2;gompertz;-3,04476;0,0174306;0,14089506;-0,01150177;-0,01150177;0,0011544;12;20;12
Male;OW_N;gompertz;-1,497217;-0,3630041;0,06427321;-0,00813388;-0,00813388;0,00163355;12;20;12
Male;OB1_OW;gompertz;-1,82332;-0,3193226;0,63251114;-0,0965237;-0,0965237;0,01820751;12;20;12
Male;OB2_OB1;gompertz;-1,857534;-0,1568455;1,9049582;-0,16751267;-0,16751267;0,01797335;12;20;12
Male;N_OW;loglogistic;2,831276;0,5015813;0,00028767;-0,00013614;-0,00013614;0,00015545;20;100;19
Male;OW_OB1;loglogistic;3,659239;0,7304543;0,000531;-0,00035139;-0,00035139;0,00053019;20;100;19
Male;OB1_OB2;gompertz;-3,740155;-0,0144418;0,00792218;-0,00021265;-0,00021265;0,000006626;20;100;19
Male;OW_N;gompertz;-7,054607;0,048505;0,0097663;-0,00021528;-0,00021528;0,000005116;20;100;19
Male;OB1_OW;gompertz;-6,433901;0,0478912;0,02867946;-0,00063685;-0,00063685;0,00001509;20;100;19
Male;OB2_OB1;gompertz;-5,485948;0,0382541;0,12783511;-0,00302023;-0,00302023;0,00007567;20;100;19
